Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.15	0.10132	0.040882	24.461	6.1852	8.6636	191.48	20.818	29.172	352.07	2.1485	17.812	0.025735	vapor
308.15	0.10132	0.039552	25.283	6.3936	8.9554	192.44	20.823	29.173	357.92	1.9970	18.271	0.026401	vapor
318.15	0.10132	0.038306	26.105	6.6020	9.2471	193.37	20.828	29.177	363.68	1.8566	18.723	0.027059	vapor
328.15	0.10132	0.037137	26.928	6.8105	9.5389	194.28	20.836	29.182	369.34	1.7263	19.169	0.027709	vapor
338.15	0.10132	0.036036	27.750	7.0190	9.8308	195.15	20.844	29.188	374.91	1.6050	19.609	0.028353	vapor
348.15	0.10132	0.035000	28.572	7.2277	10.123	196.00	20.855	29.197	380.39	1.4918	20.044	0.028990	vapor
358.15	0.10132	0.034021	29.394	7.4364	10.415	196.83	20.867	29.207	385.79	1.3859	20.474	0.029621	vapor
368.15	0.10132	0.033096	30.215	7.6453	10.707	197.64	20.881	29.219	391.10	1.2867	20.898	0.030246	vapor
378.15	0.10132	0.032220	31.037	7.8543	10.999	198.42	20.897	29.234	396.34	1.1936	21.317	0.030866	vapor
388.15	0.10132	0.031389	31.859	8.0634	11.292	199.18	20.915	29.250	401.50	1.1060	21.732	0.031482	vapor
398.15	0.10132	0.030599	32.680	8.2728	11.584	199.93	20.935	29.269	406.58	1.0236	22.141	0.032093	vapor
